rotation period,obliquity,surface temperature,precipitation,planetary albedo,sw cloud radiative effect,land snow and ice fraction,ocean ice fraction,atmospheric water vapor,lw cloud radiative effect,total cloud fraction,high-level cloud fraction,mid-level cloud fraction,low-level cloud fraction,temperature habitability metric,precipitation habitability metric,temperature-precipitation habitability metric
day,deg,C,mm/day,%,W/m^2,%,%,kg/m^2,W/m^2,%,%,%,%,fraction,fraction,fraction
  1,   0,  11.146,   3.028,  32.951, -51.225,  19.042,  12.664,  22.152,  25.319,  80.629,  61.808,  20.512,  35.376,   0.633,   0.619,   0.403
  1,  10,  11.665,   3.060,  32.615, -51.462,  17.560,  11.179,  22.283,  25.422,  80.538,  62.208,  20.391,  34.841,   0.641,   0.647,   0.424
  1,  15,  12.633,   3.119,  32.099, -51.901,  15.269,   8.468,  22.699,  25.717,  80.078,  62.350,  20.201,  34.034,   0.645,   0.703,   0.456
  1,  20,  13.966,   3.181,  31.505, -52.467,  12.459,   5.298,  23.178,  26.223,  79.739,  62.718,  19.971,  32.999,   0.660,   0.755,   0.497
  1,  25,  15.400,   3.235,  30.863, -53.186,   9.300,   2.390,  23.585,  26.725,  78.981,  62.552,  19.640,  31.720,   0.694,   0.815,   0.564
  1,  30,  17.190,   3.319,  30.158, -53.833,   6.230,   0.504,  24.907,  27.577,  77.569,  61.995,  19.036,  29.836,   0.742,   0.895,   0.677
  1,  40,  18.997,   3.329,  29.407, -53.062,   4.882,   0.180,  27.339,  28.469,  76.899,  62.144,  18.145,  27.380,   0.772,   0.934,   0.719
  1,  45,  19.613,   3.340,  29.160, -52.700,   4.519,   0.165,  28.901,  28.820,  75.420,  60.567,  18.151,  26.330,   0.770,   0.926,   0.714
  1,  50,  19.681,   3.314,  29.125, -52.657,   4.459,   0.159,  29.695,  28.932,  72.963,  57.492,  18.390,  26.076,   0.767,   0.926,   0.713
  2,   0,  10.427,   3.058,  32.826, -53.040,  16.589,  11.486,  18.972,  24.940,  81.602,  64.010,  20.008,  36.327,   0.697,   0.659,   0.483
  2,  15,  10.818,   3.048,  32.468, -52.273,  15.513,   9.962,  18.484,  24.891,  82.346,  65.698,  19.831,  35.797,   0.682,   0.721,   0.523
  2,  30,  15.079,   3.280,  30.218, -53.457,   5.806,   0.251,  20.289,  26.033,  81.427,  67.788,  18.165,  31.481,   0.736,   0.921,   0.703
  2,  45,  16.676,   3.263,  29.596, -53.513,   4.631,   0.203,  22.917,  26.884,  76.484,  62.180,  18.313,  27.580,   0.735,   0.962,   0.708
  2,  59,  13.992,   3.040,  31.004, -57.590,   5.600,   0.251,  20.621,  26.323,  72.635,  53.971,  21.289,  30.462,   0.667,   0.948,   0.631
  2,  75,  10.773,   2.775,  32.862, -62.992,   6.478,   0.282,  17.676,  25.485,  73.934,  51.966,  24.847,  34.545,   0.616,   0.919,   0.566
  2,  90,   9.595,   2.679,  33.535, -64.726,   6.990,   0.309,  16.651,  25.103,  74.698,  51.963,  25.901,  35.967,   0.587,   0.896,   0.523
  4,   0,   9.105,   3.001,  32.365, -52.007,  15.694,  10.066,  16.248,  22.637,  85.866,  68.446,  20.090,  36.032,   0.696,   0.582,   0.441
  4,   8,   8.954,   2.996,  32.493, -52.025,  15.820,  10.113,  16.067,  22.674,  86.671,  69.818,  20.131,  36.455,   0.680,   0.603,   0.456
  4,  15,   9.055,   2.989,  32.577, -52.396,  15.103,   9.121,  15.833,  23.007,  87.708,  71.994,  20.454,  36.940,   0.671,   0.654,   0.490
  4,  31,  13.344,   3.255,  30.813, -54.888,   6.019,   0.341,  17.712,  25.066,  86.341,  73.206,  19.075,  34.817,   0.714,   0.962,   0.708
  4,  45,  13.587,   3.220,  30.831, -56.716,   5.099,   0.278,  18.460,  25.389,  85.025,  71.767,  19.595,  32.829,   0.701,   0.987,   0.694
  4,  60,  10.980,   2.977,  32.501, -62.293,   5.518,   0.378,  15.796,  24.783,  85.478,  72.426,  22.709,  35.529,   0.649,   0.955,   0.620
  4,  75,   8.767,   2.768,  33.762, -66.220,   5.815,   0.398,  13.520,  23.842,  86.386,  73.085,  24.674,  37.833,   0.609,   0.911,   0.554
  4,  90,   7.964,   2.694,  34.241, -67.620,   6.043,   0.452,  12.782,  23.524,  86.786,  73.309,  25.350,  38.920,   0.589,   0.885,   0.518
  6,   0,   6.171,   2.835,  33.186, -54.848,  15.606,  10.008,  12.896,  20.921,  88.601,  74.508,  19.421,  41.258,   0.672,   0.491,   0.415
  6,  17,   8.007,   2.929,  32.501, -54.726,  12.826,   6.857,  13.815,  21.967,  90.103,  77.369,  20.531,  39.919,   0.675,   0.616,   0.499
  8,   0,   7.903,   2.884,  31.703, -55.728,  10.461,   6.388,  13.085,  20.881,  88.802,  76.254,  16.115,  40.271,   0.680,   0.440,   0.403
  8,   8,   8.208,   2.898,  31.769, -56.214,   9.740,   5.327,  13.151,  21.396,  88.498,  74.997,  16.631,  40.523,   0.689,   0.475,   0.435
  8,  15,   9.177,   2.951,  31.486, -56.153,   8.136,   3.730,  13.579,  21.937,  89.025,  75.059,  17.481,  40.261,   0.701,   0.546,   0.484
  8,  30,  12.594,   3.231,  30.346, -54.486,   4.591,   0.225,  16.102,  23.220,  88.928,  76.686,  18.218,  35.887,   0.722,   0.901,   0.684
  8,  45,  12.673,   3.262,  30.364, -55.990,   4.277,   0.311,  16.995,  23.310,  87.406,  75.759,  18.149,  33.710,   0.684,   0.986,   0.675
  8,  60,  10.461,   3.077,  31.763, -60.313,   5.020,   0.450,  14.687,  22.620,  86.094,  73.373,  19.990,  36.390,   0.629,   0.974,   0.614
  8,  73,   8.782,   2.926,  32.783, -63.100,   5.555,   0.550,  12.939,  21.973,  85.824,  71.294,  20.803,  38.918,   0.589,   0.967,   0.569
  8,  90,   7.957,   2.856,  33.307, -64.417,   5.897,   0.573,  12.151,  21.801,  85.079,  68.877,  21.070,  40.427,   0.569,   0.952,   0.539
 12,   0,  10.052,   2.959,  30.271, -55.260,   3.275,   0.741,  13.278,  20.093,  87.522,  72.623,  13.595,  38.339,   0.706,   0.483,   0.434
 12,  17,  10.951,   3.040,  30.071, -54.455,   3.498,   0.249,  14.098,  20.707,  87.721,  73.471,  15.104,  37.179,   0.712,   0.595,   0.518
 16,   0,  11.960,   3.080,  29.696, -53.654,   3.136,   0.343,  15.010,  20.808,  89.118,  78.973,  15.278,  34.962,   0.728,   0.529,   0.474
 16,   8,  12.166,   3.092,  29.654, -53.596,   3.064,   0.303,  15.152,  20.894,  88.298,  77.810,  15.573,  34.492,   0.737,   0.556,   0.498
 16,  15,  12.283,   3.104,  29.641, -53.476,   3.222,   0.202,  15.291,  20.956,  88.625,  78.185,  16.107,  34.201,   0.735,   0.613,   0.531
 16,  30,  12.995,   3.197,  29.477, -53.065,   3.249,   0.186,  16.469,  21.631,  88.759,  79.121,  16.529,  31.639,   0.712,   0.810,   0.623
 16,  45,  11.944,   3.191,  30.029, -55.152,   3.920,   0.311,  15.966,  21.524,  89.248,  80.224,  17.179,  32.812,   0.663,   0.983,   0.653
 16,  55,  10.749,   3.127,  30.673, -56.922,   4.474,   0.399,  14.816,  21.211,  89.579,  80.388,  17.440,  34.952,   0.622,   0.984,   0.609
 16,  60,  10.142,   3.094,  30.997, -57.726,   4.779,   0.435,  14.237,  21.085,  90.007,  80.806,  17.371,  36.128,   0.601,   0.979,   0.585
 16,  75,   8.570,   2.989,  31.831, -59.749,   5.506,   0.581,  12.750,  20.849,  90.754,  81.267,  16.936,  38.848,   0.546,   0.959,   0.521
 16,  90,   8.003,   2.936,  32.197, -60.664,   5.755,   0.609,  12.252,  20.929,  90.826,  81.007,  16.748,  40.035,   0.528,   0.949,   0.497
 24,   0,  10.853,   3.020,  29.907, -54.599,   2.891,   0.309,  14.131,  20.038,  89.355,  80.314,  14.650,  33.358,   0.648,   0.545,   0.485
 24,  17,  11.080,   3.057,  30.124, -55.160,   3.559,   0.242,  14.469,  20.497,  90.403,  81.924,  15.737,  33.258,   0.679,   0.676,   0.550
 32,   0,   9.847,   2.974,  30.356, -56.543,   2.982,   0.357,  13.409,  19.720,  91.344,  83.666,  14.801,  33.612,   0.553,   0.587,   0.481
 32,  15,   9.795,   2.999,  30.647, -57.168,   3.834,   0.256,  13.490,  20.091,  91.132,  82.873,  15.617,  34.417,   0.598,   0.692,   0.510
 32,  30,   9.143,   2.993,  31.205, -58.293,   4.985,   0.356,  13.157,  20.373,  91.656,  83.304,  16.746,  36.157,   0.571,   0.857,   0.521
 32,  46,   8.246,   2.997,  31.645, -59.424,   5.618,   0.445,  12.712,  20.605,  91.247,  82.162,  16.895,  38.035,   0.508,   0.990,   0.504
 32,  60,   7.200,   2.938,  32.273, -60.932,   6.344,   0.578,  11.894,  20.691,  92.005,  82.865,  16.775,  40.632,   0.450,   0.996,   0.447
 32,  75,   6.375,   2.870,  32.707, -61.915,   6.844,   0.621,  11.183,  20.787,  92.111,  82.321,  15.995,  43.380,   0.408,   0.981,   0.400
 32,  90,   6.063,   2.833,  32.902, -62.323,   7.076,   0.636,  10.917,  20.830,  92.053,  81.696,  15.719,  44.447,   0.389,   0.977,   0.380
 64,   0,   7.030,   2.873,  32.186, -62.651,   4.848,   0.469,  11.702,  20.651,  89.786,  78.399,  15.756,  40.309,   0.245,   0.625,   0.237
 64,  17,   6.832,   2.874,  32.398, -62.787,   6.082,   0.459,  11.596,  20.757,  91.163,  81.078,  16.603,  41.029,   0.277,   0.735,   0.248
 64,  30,   6.568,   2.879,  32.592, -62.627,   6.830,   0.524,  11.457,  20.839,  91.751,  82.026,  17.415,  42.012,   0.304,   0.856,   0.267
 64,  45,   6.501,   2.909,  32.627, -62.059,   7.301,   0.583,  11.519,  21.025,  91.520,  81.088,  17.494,  43.093,   0.310,   0.968,   0.300
 64,  60,   6.206,   2.900,  32.778, -62.213,   7.632,   0.615,  11.341,  21.173,  91.291,  80.078,  17.090,  44.754,   0.303,   0.995,   0.301
 64,  75,   5.900,   2.871,  32.908, -62.354,   7.887,   0.636,  11.105,  21.227,  91.714,  80.460,  16.597,  46.259,   0.299,   0.993,   0.295
 64,  82,   5.859,   2.862,  32.945, -62.424,   7.934,   0.660,  11.060,  21.250,  91.833,  80.531,  16.620,  46.588,   0.300,   0.987,   0.295
 64,  90,   5.822,   2.856,  32.947, -62.335,   8.018,   0.628,  11.025,  21.227,  91.902,  80.547,  16.568,  46.838,   0.300,   0.987,   0.294
128,   0,   6.524,   2.889,  32.809, -64.260,   7.005,   0.401,  11.807,  21.805,  91.160,  79.068,  18.814,  43.507,   0.115,   0.658,   0.114
128,  15,   6.266,   2.883,  32.925, -64.170,   7.903,   0.507,  11.609,  21.744,  91.960,  80.963,  19.006,  44.608,   0.124,   0.744,   0.116
128,  30,   5.996,   2.872,  33.067, -63.503,   8.737,   0.579,  11.392,  21.631,  91.799,  80.208,  18.884,  45.899,   0.183,   0.847,   0.156
128,  35,   5.986,   2.874,  33.086, -63.256,   8.912,   0.597,  11.387,  21.608,  91.668,  79.873,  18.739,  46.112,   0.199,   0.880,   0.173
128,  44,   5.928,   2.875,  33.108, -62.838,   9.078,   0.616,  11.349,  21.582,  91.988,  80.399,  18.469,  46.473,   0.225,   0.956,   0.212
128,  60,   5.582,   2.841,  33.320, -62.939,   9.325,   0.618,  11.035,  21.609,  92.229,  80.727,  17.965,  47.786,   0.251,   0.998,   0.251
128,  75,   5.170,   2.801,  33.454, -63.084,   9.431,   0.642,  10.694,  21.459,  92.126,  79.548,  17.455,  49.195,   0.257,   0.996,   0.255
128,  90,   5.020,   2.788,  33.537, -63.235,   9.451,   0.659,  10.572,  21.419,  91.709,  78.153,  17.086,  49.789,   0.261,   0.996,   0.259
